日期,花呗,白条,美团月付,抖音月付,抖音放心借,京东钱包,微信,余额宝,工商,建行,光大,农信,农行,浦发,广发,定期存款,理财投资,借出
2025-07-01,-28.69,-1667.75,0.0,0.0,0.0,0.0,479.08,5.02,2342.79,248.86,1952.83,91523.6,91.61,8.96,0.0,55204.52,0.0,4000.0
2025-07-05,-28.69,-1667.75,0.0,0.0,0.0,0.0,42.63,5.02,2342.79,248.86,1952.83,91523.6,91.61,6799.71,0.0,55204.52,0.0,4000.0
2025-07-12,-232.69,-1667.75,-30.42,0.0,-5000.0,0.0,2020.14,7089.51,1.63,0.89,0.08,91523.6,91.62,6799.71,0.0,55204.52,0.0,4000.0
2025-07-16,-616.31,-1680.65,-30.42,0.0,-5000.0,0.0,1814.57,7090.65,1.63,0.89,0.08,91523.6,91.62,7899.71,0.0,55204.52,0.0,4000.0
2025-07-21,-604.94,-1527.49,-30.42,0.0,-5000.0,0.0,2644.45,8573.06,1.63,0.89,0.08,84002.16,91.62,13727.37,0.0,55204.52,0.0,4000.0
2025-07-22,-303.93,-1527.49,-30.42,0.0,-5000.0,0.0,2637.25,8573.34,1.63,0.89,0.08,81002.16,91.62,17527.37,0.0,55204.52,0.0,4000.0
2025-07-31,-367.02,-1527.49,-30.42,0.0,-5000.0,0.0,2161.75,8545.99,1.63,0.89,0.08,69002.16,91.61,29526.86,0.0,55204.52,0.0,4000.0
2025-08-08,-407.48,-1527.49,0.0,0.0,-4195.65,0.0,1845.59,8517.98,2197.28,0.89,0.08,66002.16,91.61,34747.7,0.0,55204.52,0.0,4000.0
2025-08-15,-441.09,-1527.49,0.0,0.0,-4195.65,0.0,1570.5,8479.03,2197.28,0.89,0.08,66002.16,91.61,35834.71,0.0,55204.52,0.0,4000.0
2025-08-22,-79.26,-1376.9,0.0,0.0,-4195.65,0.0,1492.0,8465.24,5184.59,0.89,0.08,51002.16,91.61,44276.64,0.0,55204.52,0.0,7000.0
2025-08-31,-82.26,-1376.9,0.0,0.0,-4195.65,0.0,1110.12,8228.69,5184.59,0.89,0.08,50000.0,91.61,43278.8,0.0,55204.52,0.0,9000.0
2025-09-05,-82.26,-1399.39,0.0,-47.3,-4195.65,0.0,528.06,13230.51,184.59,0.89,0.08,50000.0,91.61,48983.15,0.0,55204.52,0.0,9000.0
2025-09-14,-82.26,-1470.37,0.0,-47.3,-3380.07,9.9,222.23,12416.36,69.01,0.89,0.08,50000.0,91.61,33982.84,0.0,55204.52,15000.0,9000.0
2025-09-21,0.0,-1302.51,-15.5,-47.3,-3380.07,9.9,77.32,2385.85,3000.25,6001.74,0.12,29091.62,3091.64,38510.07,0.0,55204.52,30000.0,9000.0
2025-09-28,0.0,-1302.51,-15.5,-47.3,-3380.07,9.9,771.17,2258.95,17000.25,12001.74,0.12,14091.62,6091.64,20491.07,0.0,55204.52,50000.0,0.0
2025-09-30,0.0,-1302.51,-15.5,-47.3,-3380.07,9.9,739.86,2039.99,17000.25,15001.74,0.12,5091.62,12091.64,20492.42,0.0,55204.52,50000.0,0.0
2025-10-05,0.0,-1302.51,-15.5,-47.3,-3380.07,0.0,2994.46,16778.29,10000.25,10001.74,0.12,0.0,3183.26,26197.31,0.0,55204.52,50000.0,0.0
2025-10-11,-1.8,-1553.57,0.0,-97.0,-2551.6,0.0,2676.84,16031.06,8108.98,10001.74,0.12,0.0,3183.26,31196.8,0.0,55204.52,47000.0,0.0
2025-10-17,-20.6,-1315.51,0.0,-295.99,-2551.6,0.3,2322.71,10702.68,26148.07,3001.74,0.12,35120.25,9183.26,26203.59,0.0,5204.52,56000.0,0.0
2025-10-24,-18.8,-1129.92,-83.0,-295.99,-2551.6,0.3,232.06,10666.05,2148.07,1001.74,0.12,17120.25,18183.26,26024.31,0.0,5204.52,91000.0,0.0
2025-10-29,-19.8,-1129.92,-83.0,-295.99,-2551.6,0.3,84.7,17013.29,30110.35,1001.74,0.12,14120.25,21183.26,25928.68,0.0,5204.52,54335.85,0.0
2025-10-31,-19.8,-1129.92,-83.0,-295.99,-2551.6,0.3,50.1,17011.61,2148.07,1001.74,0.12,14120.25,21183.26,25930.47,0.0,5204.52,85000.0,0.0
2025-11-09,-19.8,-1129.92,0.0,0.0,-1713.09,0.3,669.37,7012.78,930.57,1001.74,0.12,14120.25,21183.26,31460.48,0.0,5204.52,85000.0,10000.0
2025-11-17,-22.8,-1129.92,0.0,-17.8,-1713.09,0.3,388.31,6742.57,930.57,4001.74,0.12,11120.25,21183.26,31472.08,0.0,5204.52,85000.0,10000.0
2025-11-22,-25.69,-978.53,0.0,-17.8,-1713.09,0.0,252.95,6716.87,930.57,4001.74,0.12,11120.25,21183.26,31325.28,0.0,5204.52,85000.0,10000.0
2025-11-28,-876.68,-1014.41,-9.59,-17.8,-1713.09,0.0,61.61,11537.32,930.57,4001.74,0.12,11120.25,21183.26,26232.65,0.0,5204.52,80000.0,10000.0
