日期,金额,支付通道,说明
2025-07-01,-10.3,微信,京东外卖
2025-07-01,-1.5,微信,共享单车
2025-07-01,-5.85,支付宝,打车回宿舍
2025-07-02,-10.3,微信,京东外卖
2025-07-02,-104.82,微信,京东买正装裤子
2025-07-02,-1.5,微信,共享单车
2025-07-02,-6.29,微信,打车回宿舍
2025-07-02,-11.9,微信,京东外卖
2025-07-02,-11.49,微信,羽毛球服
2025-07-03,-177.0,微信,买2桶羽毛球
2025-07-03,-5.75,微信,早上打车上班
2025-07-03,-4.31,微信,晚上打车下班
2025-07-04,-34.05,微信,京东买热水壶
2025-07-04,-5.92,微信,上下班打车
2025-07-04,-6.43,微信,上下班打车
2025-07-04,-5.31,微信,上下班打车
2025-07-04,-31.92,微信,京东买薄荷糖
2025-07-04,-6.61,微信,上下班打车
2025-07-05,-4.05,微信,早上打车上班
2025-07-05,-1.5,微信,下午下班地铁口共享单车回宿舍
2025-07-05,-7.3,微信,晚饭 京东外卖
2025-07-06,-3.0,微信,出去打羽毛球骑共享单车
2025-07-06,-10.0,微信,打羽毛球时买饮料
2025-07-06,-3.8,微信,打羽毛球回来路上买饮料
2025-07-06,-22.8,微信,羽毛球场地费
2025-07-06,-17.76,微信,京东买鞋架
2025-07-06,-13.88,支付宝,淘宝点外卖
2025-07-07,-1.5,微信,共享单车去上班
2025-07-07,-20.0,微信,QQ音乐自动续费
2025-07-07,-100.0,微信,岭南通充值
2025-07-07,-16.9,支付宝,午餐淘宝闪购外卖
2025-07-07,-5.41,美团月付,美团买6L怡宝
2025-07-08,-5.36,微信,早上打车上班
2025-07-08,-3.86,微信,晚上打车下班
2025-07-09,-4.99,微信,早上打车上班
2025-07-09,-195.0,支付宝,教师资格证报名费
2025-07-09,-84.0,微信,买了一桶羽毛球（7/14退款了）
2025-07-09,-1.5,微信,下午下班地铁口共享单车回宿舍
2025-07-10,-10.0,微信,上下班打车
2025-07-10,-25.01,美团月付,购买毛巾和沐浴露
2025-07-11,-0.1,微信,PDD省钱卡
2025-07-11,-6.54,微信,早上打车上班
2025-07-11,-66.0,微信,买了一桶羽毛球
2025-07-11,-113.0,支付宝,买了一桶羽毛球（7/22退款）
2025-07-11,-14.16,微信,空气清新剂
2025-07-11,-10.3,微信,京东外卖
2025-07-11,-3.0,微信,共享单车
2025-07-11,-25.0,微信,羽毛球场地费
2025-07-12,-91.0,支付宝,买了一桶羽毛球（7/22退款）
2025-07-12,-18.0,微信,身份证邮费
2025-07-12,-7.46,支付宝,淘宝点外卖
2025-07-12,-16.9,支付宝,淘宝点外卖
2025-07-13,-110.0,支付宝,买羽毛球（7/22退款）
2025-07-13,-22.8,微信,pdd买魔法士 先用后付
2025-07-13,-9.8,微信,京东外卖
2025-07-13,-6.0,微信,1.25L可乐 生日请吃鸡公煲
2025-07-13,-194.92,支付宝,生日请吃鸡公煲
2025-07-13,-78.7,支付宝,生日请吃鸡公煲 第三个堡
2025-07-14,-9.8,微信,京东外卖
2025-07-14,-69.9,微信,浦发行服 （7/21退款了）
2025-07-14,-1.5,微信,共享单车
2025-07-15,-1.5,微信,共享单车
2025-07-15,-7.9,白条,京东外卖 微信返现5块 已合并计算
2025-07-16,-1.5,微信,共享单车
2025-07-16,-18.8,微信,京东外卖
2025-07-16,-29.9,微信,抖音买面包
2025-07-16,-59.0,微信,买工作服 pdd 先用后付
2025-07-16,-59.0,微信,买工作服 pdd 先用后付
2025-07-16,-5.32,微信,pdd 羽毛球拍缓震膜
2025-07-17,-6.5,微信,便利店买早餐
2025-07-17,-1.5,微信,共享单车
2025-07-17,-19.18,支付宝,淘宝点外卖
2025-07-18,-3.0,微信,便利店买早餐
2025-07-18,-1.5,微信,共享单车
2025-07-18,-9.41,微信,京东买牙膏
2025-07-18,-11.8,微信,京东点外卖
2025-07-19,-9.8,微信,京东点外卖
2025-07-19,-7.5,微信,美团买6L怡宝
2025-07-19,-5.05,微信,pdd退货邮费（7/22退还）
2025-07-19,-17.32,支付宝,淘宝点外卖
2025-07-19,-13.0,支付宝,淘宝点蜜雪冰城
2025-07-20,-15.0,微信,淘宝退货的包装费
2025-07-20,-8.88,微信,京东点外卖
2025-07-20,-140.0,微信,请舍友吃饭
2025-07-20,-9.67,微信,打台球
2025-07-21,-3.0,微信,共享单车
2025-07-21,-7.88,微信,京东点外卖
2025-07-22,-4.9,微信,抖音买瑜伽垫
2025-07-22,-7.4,微信,打车回宿舍
2025-07-22,-12.99,支付宝,淘宝点外卖
2025-07-23,-178.0,微信,羽毛球场地费
2025-07-23,-0.51,支付宝,共享单车
2025-07-23,-14.7,支付宝,淘宝点外卖
2025-07-24,-14.98,支付宝,麦当劳
2025-07-24,-4.0,微信,便利店买早餐
2025-07-24,-18.7,微信,共享单车骑行卡
2025-07-25,-14.9,微信,京东点外卖 微信返现5块 已合并计算
2025-07-25,-8.56,支付宝,淘宝买 苗肤清 脚气药
2025-07-26,-8.1,微信,京东点外卖
2025-07-26,-25.0,微信,羽毛球场地费
2025-07-26,-17.82,支付宝,淘宝点外卖
2025-07-26,-0.55,支付宝,便利店买饮料
2025-07-27,-8.88,微信,京东点外卖
2025-07-27,-1.59,支付宝,便利店买饮料
2025-07-28,-100.0,微信,岭南通充值
2025-07-28,-10.51,微信,椅子坐垫
2025-07-28,-27.05,微信,京东买皮带
2025-07-28,-16.31,微信,京东点外卖
2025-07-28,-1.5,微信,抖音买自粘绷带
2025-07-29,-4.5,微信,便利店买早餐
2025-07-29,-8.3,微信,京东点外卖（有返现已合并计算）
2025-07-30,-4.0,微信,便利店买早餐
2025-07-30,-17.75,支付宝,淘宝点外卖
2025-07-31,-49.0,微信,pdd买浦发行服短袖 先用后付
2025-07-31,-16.82,支付宝,淘宝点外卖
2025-08-01,-4.0,微信,便利店买早餐
2025-08-01,-178.0,微信,羽毛球场地费
2025-08-01,-14.9,微信,京东点外卖
2025-08-01,-483.5,浦发银行卡,7月水电+物业
2025-08-02,-5.0,微信,打羽毛球买饮料
2025-08-03,-1.82,支付宝,共享单车
2025-08-03,-10.88,微信,京东点外卖
2025-08-03,-6.0,微信,打羽毛球买饮料
2025-08-03,-18.9,微信,京东点外卖
2025-08-04,-3.0,微信,便利店买早餐
2025-08-04,-10.0,微信,陈家祠门票
2025-08-04,-5.12,支付宝,共享单车
2025-08-04,-16.48,支付宝,公司拍视频打车
2025-08-04,-17.04,支付宝,公司拍视频打车
2025-08-04,-11.3,支付宝,淘宝点外卖
2025-08-05,-3.94,微信,打车去分行培训
2025-08-05,-11.79,微信,京东点外卖
2025-08-06,-5.0,微信,便利店买早餐
2025-08-06,-12.8,微信,京东点外卖
2025-08-07,-8.0,微信,便利店买早餐
2025-08-07,-4.64,微信,打车去分行培训
2025-08-07,-5.81,微信,买鞋刷
2025-08-07,-4.59,微信,打车回宿舍
2025-08-07,-10.0,微信,京东点外卖
2025-08-08,-4.0,微信,便利店买早餐
2025-08-08,-15.0,微信,QQ音乐会员
2025-08-08,-18.8,支付宝,淘宝点外卖
2025-08-09,-10.88,微信,京东点外卖
2025-08-10,-18.9,微信,京东买素毛肚
2025-08-10,-9.9,微信,京东买玉米肠
2025-08-10,-12.99,支付宝,淘宝点外卖
2025-08-10,-16.7,支付宝,淘宝点外卖
2025-08-10,-50.0,微信,给159充话费
2025-08-11,-2.5,微信,买早餐
2025-08-11,-15.7,支付宝,淘宝点外卖
2025-08-12,-3.0,微信,便利店买早餐
2025-08-12,-4.78,微信,打车回宿舍
2025-08-13,-13.0,微信,出外勤早餐买肠粉
2025-08-13,-2.0,微信,出外勤买水
2025-08-13,-37.5,微信,买云南白药喷雾
2025-08-13,-17.7,微信,京东点外卖
2025-08-14,-3.0,微信,便利店买早餐
2025-08-14,-9.5,微信,打车回宿舍
2025-08-14,-15.16,支付宝,哈罗共享单车开卡
2025-08-15,-3.0,微信,便利店买早餐
2025-08-15,-13.0,微信,晚餐翱翔球馆附近买鸡蛋仔
2025-08-15,-100.0,微信,岭南通充值
2025-08-15,-2.75,支付宝,打球回来买雪碧
2025-08-15,-0.8,支付宝,淘宝买pikpak会员
